Date,Open,High,Low,Close,Volume
2025-02-13,115.33,119.57,114.76,119.54,34429294.0
2025-02-14,126.59,126.8,120.495,124.73,52729816.0
2025-02-18,127.74,129.02,125.61,126.9,42152768.0
2025-02-19,126.0,127.7,124.95,125.79,35155218.0
2025-02-20,137.81,144.51,131.41,135.97,118848968.0
2025-02-21,141.6,145.3,141.1,143.75,73892138.0
2025-02-24,135.8,135.8,128.44,129.04,74118310.0
2025-02-25,132.79,134.47,130.75,134.01,38881139.0
2025-02-26,140.0,141.95,138.2901,139.08,40670132.0
2025-02-27,138.675,140.105,135.87,136.55,23859370.0
2025-02-28,130.95,133.9499,130.14,132.51,24862578.0
2025-03-03,134.01,134.715,129.56,130.81,22528034.0
2025-03-04,129.6,132.1,126.1,129.85,25366513.0
2025-03-05,134.37,141.83,133.34,141.03,37284635.0
2025-03-06,142.2,144.76,138.09,139.95,35482111.0
2025-03-07,142.92,145.36,139.38,140.62,31904363.0
2025-03-10,135.995,137.95,131.0,132.54,32604758.0
2025-03-11,138.16,141.3325,136.04,139.02,29094794.0
2025-03-12,138.405,138.95,135.28,137.14,23880904.0
2025-03-13,134.77,140.28,134.34,138.35,20516289.0
2025-03-14,141.35,141.82,139.45,141.1,17381919.0
2025-03-17,140.16,148.43,140.03,147.57,33896965.0
2025-03-18,146.38,146.87,142.5,142.74,20950126.0
2025-03-19,145.07,145.2,141.87,143.2,16333817.0
2025-03-20,137.175,138.99,136.37,136.91,23646782.0
2025-03-21,133.99,136.47,133.3,135.14,13970265.0
2025-03-24,136.33,136.43,133.63,134.48,14019013.0
2025-03-25,132.94,136.245,132.35,132.75,17943385.0
2025-03-26,133.53,134.66,131.13,132.24,16023418.0
2025-03-27,133.45,137.785,132.88,135.63,16688316.0
2025-03-28,133.5,134.21,131.4,132.43,13271493.0
2025-03-31,130.03,132.87,128.0,132.23,12183816.0
2025-04-01,132.75,134.1,131.53,132.7,11627512.0
2025-04-02,131.96,132.83,129.15,129.79,21240902.0
2025-04-03,125.645,130.67,125.5,129.33,30607587.0
2025-04-04,117.57,118.87,111.3004,116.54,57154549.0
2025-04-07,106.62,114.12,102.64,105.98,61386612.0
2025-04-08,108.26,109.0,97.75,99.37,52100163.0
